date,close,high,low,open,volume,tic,day
2014-01-01,284.09747314453125,285.1489215250578,277.74682860130815,278.4197487291205,1883623,BHARTIARTL.NS,2
2014-01-01,148.0498809814453,149.0848753429378,147.5713259984705,148.6842319260608,4492436,HDFCBANK.NS,2
2014-01-01,463.6255187988281,465.2861372875934,461.154911245473,462.2484928922814,251204,HINDUNILVR.NS,2
2014-01-01,177.51211547851562,178.86242309357826,176.59035437347183,178.02959587332887,3102869,ICICIBANK.NS,2
2014-01-01,309.4785461425781,312.2449345308192,308.94758240604665,311.6202661850873,1478688,INFY.NS,2
2014-01-01,135.26756286621094,135.68712318395941,134.72212448022805,135.22560683443606,1930884,ITC.NS,2
2014-01-01,591.5881958007812,597.8720065810517,590.3979146221933,595.242216588773,694318,LT.NS,2
2014-01-01,187.46728515625,189.4604954855354,187.21417215452243,189.29174879110892,5849398,RELIANCE.NS,2
2014-01-01,152.2901153564453,153.1399827960468,151.96224370499866,152.88976079928344,5904780,SBIN.NS,2
2014-01-01,800.3018188476562,811.8976843121086,799.4841785354361,810.2624036876682,529952,TCS.NS,2
2014-01-02,276.48504638671875,285.1488701084458,274.63453061000354,284.3077343414428,5276461,BHARTIARTL.NS,3
2014-01-02,146.23587036132812,150.18668725465167,145.46796238895,148.01652022874157,7228992,HDFCBANK.NS,3
2014-01-02,455.56573486328125,466.3797305499827,452.4875485870542,462.53204714553215,531660,HINDUNILVR.NS,3
2014-01-02,173.93824768066406,180.7948693235523,173.04882745239195,177.26145420892803,11321513,ICICIBANK.NS,3
2014-01-02,310.598388671875,313.0479758013509,309.05456162885645,309.05456162885645,4404744,INFY.NS,3
2014-01-02,132.14181518554688,136.35844162690444,131.86910594154267,135.24659172797246,7046088,ITC.NS,3
2014-01-02,573.5950927734375,597.8720561193546,569.3043931014505,590.8685410388737,2322501,LT.NS,3
2014-01-02,184.55654907226562,188.98590658791576,183.52303372659625,187.23524952495137,6023632,RELIANCE.NS,3
2014-01-02,150.3531036376953,155.82332314135985,149.4557879986414,152.3634503484938,19451900,SBIN.NS,3
2014-01-02,805.3934936523438,813.5700773442458,801.3609149454512,805.0218307572574,1726948,TCS.NS,3
2014-01-03,277.0318298339844,279.17676622074424,272.57376975813537,275.89630208305033,4701341,BHARTIARTL.NS,4
2014-01-03,147.59361267089844,148.23910369165603,144.6778039032679,145.1229663768164,6513184,HDFCBANK.NS,4
2014-01-03,457.6719055175781,459.6160183439015,452.0421261721579,453.6217116634403,1018173,HINDUNILVR.NS,4
2014-01-03,172.51519775390625,173.84123960670973,168.98985737516463,172.7092563003225,15567502,ICICIBANK.NS,4
2014-01-03,318.1479187011719,319.02692467684744,308.25139987832176,310.1030946159566,10046344,INFY.NS,4
2014-01-03,132.0579071044922,132.58236254998434,130.21182154286117,132.16280218275503,12462028,ITC.NS,4
2014-01-03,560.3077392578125,571.8787537511723,558.0931767206685,564.7091385829116,3701602,LT.NS,4
2014-01-03,182.28915405273438,184.2085439250983,180.33812681411115,183.8394272389149,12833897,RELIANCE.NS,4
2014-01-03,148.3729705810547,149.78367195064126,147.6266491009225,149.00713582548892,13759590,SBIN.NS,4
2014-01-03,825.9093627929688,828.4738915083451,798.0532437335279,804.538743854942,2618174,TCS.NS,4
2014-01-06,277.0318298339844,278.12531787988235,274.0037178552469,276.3168700265211,2704888,BHARTIARTL.NS,0
2014-01-06,147.28204345703125,147.57139641922785,146.2359086688276,147.57139641922785,5963420,HDFCBANK.NS,0
2014-01-06,456.45672607421875,459.93988197508406,453.78360872894206,459.2918610187791,603727,HINDUNILVR.NS,0
2014-01-06,168.31065368652344,172.8709547334848,167.3808039859614,172.38581516921434,14802265,ICICIBANK.NS,0
2014-01-06,313.9314270019531,319.5177536551348,309.53199595897394,319.0358755188879,11098328,INFY.NS,0
2014-01-06,132.43551635742188,132.87605971266785,131.53344664291313,132.16279714266759,8469206,ITC.NS,0
2014-01-06,559.44970703125,568.00338092414,553.6641987767849,560.3355119256362,2579617,LT.NS,0
2014-01-06,180.32760620117188,182.07826369789814,179.28354480920208,181.83569644288679,13315857,RELIANCE.NS,0
2014-01-06,145.65512084960938,148.7482841116569,145.12448851163884,148.56710157263817,13907830,SBIN.NS,0
2014-01-06,832.37646484375,834.0117456969616,816.543585247872,828.4368008727841,2311810,TCS.NS,0
2014-01-07,279.008544921875,281.36376547425067,274.6345923782218,277.9991931673299,4110547,BHARTIARTL.NS,1
2014-01-07,147.88299560546875,149.34090015154055,145.41233545113568,148.48395414341806,7896920,HDFCBANK.NS,1
2014-01-07,452.77105712890625,458.4008349360687,450.3814335197274,456.0517033661988,605461,HINDUNILVR.NS,1
2014-01-07,169.7983856201172,171.2861448992988,165.56959571245727,168.99791293343645,18566515,ICICIBANK.NS,1
2014-01-07,308.51019287109375,314.6453262494608,307.577656954921,314.0340569412334,7713688,INFY.NS,1
2014-01-07,132.87603759765625,133.16972979463648,131.21874955385243,132.79211556846718,8078735,ITC.NS,1
2014-01-07,564.4323120117188,569.4427145431143,558.1208268037587,561.9409482765326,2833413,LT.NS,1
2014-01-07,177.61727905273438,181.38222496234,177.18488754606275,180.25379717653092,17311470,RELIANCE.NS,1
2014-01-07,143.3470916748047,146.85009422909195,142.7948944223863,146.06493485232522,17352910,SBIN.NS,1
2014-01-07,819.9444580078125,838.6391288596561,817.2871033122741,832.5252894131395,2897486,TCS.NS,1
2014-01-08,279.59735107421875,280.94319136046937,275.64396659499755,280.10205542265606,6305970,BHARTIARTL.NS,2
2014-01-08,147.94973754882812,148.45054528671213,146.90360311263683,148.0610281572468,4649480,HDFCBANK.NS,2
2014-01-08,452.93316650390625,455.3632826448035,451.1915634932608,452.0016022068932,564149,HINDUNILVR.NS,2
2014-01-08,170.49378967285156,172.03815595496488,168.71494897397065,170.44528521226655,18955475,ICICIBANK.NS,2
2014-01-08,305.91790771484375,310.10317640254624,305.2843068987369,308.85383986452155,8990392,INFY.NS,2
2014-01-08,132.93899536132812,133.4214947755878,131.63834823520588,133.21171458958602,7763390,ITC.NS,2
2014-01-08,552.722900390625,567.9756106290837,551.8370956447546,565.8163982023652,3084265,LT.NS,2
2014-01-08,179.0831756591797,180.83381908452785,178.10238900382907,178.10238900382907,12726430,RELIANCE.NS,2
2014-01-08,142.98040771484375,144.77505223358983,142.44978854099244,143.5930079723486,14248790,SBIN.NS,2
2014-01-08,829.7933349609375,834.0117461755328,821.3752045668126,822.1185305437962,2550020,TCS.NS,2
2014-01-09,277.24212646484375,280.1020512718386,275.2654342545257,279.59734693088046,3730440,BHARTIARTL.NS,3
2014-01-09,147.56021118164062,148.25020747652871,146.2581029934906,147.61585648236638,3777472,HDFCBANK.NS,3
2014-01-09,448.8828125,453.6215175047477,448.5992693870665,453.6215175047477,854783,HINDUNILVR.NS,3
2014-01-09,169.9358673095703,172.3211357336819,168.54514382648915,172.19177241966344,19238686,ICICIBANK.NS,3
2014-01-09,307.94366455078125,310.7278963699895,305.0032656383371,306.97988613232735,12590808,INFY.NS,3
2014-01-09,132.41455078125,132.87607720125692,131.17683262285468,132.87607720125692,7959027,ITC.NS,3
2014-01-09,538.079345703125,555.8510475300718,537.0274396973847,552.999856630978,4402965,LT.NS,3
2014-01-09,179.43118286132812,180.08505000398497,178.23948042620043,179.3784539110859,8309185,RELIANCE.NS,3
2014-01-09,141.4834442138672,143.4635896820157,140.63789491236898,142.6223586393091,14791100,SBIN.NS,3
2014-01-09,833.2498168945312,838.2858685240717,825.8723610335597,828.3438836058633,2582206,TCS.NS,3
2014-01-10,278.0412292480469,280.2282054913386,275.05515676749485,275.05515676749485,3787879,BHARTIARTL.NS,4
2014-01-10,147.3599090576172,150.17556721274704,146.08006691170016,147.56023761022092,6150508,HDFCBANK.NS,4
2014-01-10,445.3592224121094,451.1510183087538,444.2251980110941,449.85492685509314,985783,HINDUNILVR.NS,4
2014-01-10,165.6747283935547,170.54228750875288,164.72871509496912,169.3698748493231,21835286,ICICIBANK.NS,4
2014-01-10,316.9075927734375,319.02700293278116,307.69373597544876,311.44174552039334,30258176,INFY.NS,4
2014-01-10,135.35150146484375,136.14867619775842,131.7432421331836,133.29563555901277,9541138,ITC.NS,4
2014-01-10,529.3041381835938,544.7783016035735,526.7850989334205,538.5498911431667,4818324,LT.NS,4
2014-01-10,181.0025634765625,184.83078385632476,178.86169767892218,178.93551820990518,14839980,RELIANCE.NS,4
2014-01-10,138.75262451171875,142.88116853022703,138.0494331053711,141.46184410979487,20473070,SBIN.NS,4
2014-01-10,847.7261352539062,858.4672508382844,830.6668391478316,839.9584145297983,3369334,TCS.NS,4
2014-01-13,278.41973876953125,280.77493065043876,276.7795066974826,277.5785743987628,2555309,BHARTIARTL.NS,0
2014-01-13,149.76376342773438,150.67635455034207,146.21360395584256,146.92585296776775,4752580,HDFCBANK.NS,0
2014-01-13,442.03814697265625,447.1413811080034,440.2560518699272,445.5213036402207,1488598,HINDUNILVR.NS,0
