date,close,high,low,open,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2014-01-01,247.59727478027344,250.0498688561293,246.83085009552883,249.37922532905705,2849425,AXISBANK.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,247.59727478027344,247.59727478027344
2014-01-01,148.04991149902344,149.0849060738597,147.57135641740393,148.68426257439793,4492436,HDFCBANK.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,148.04991149902344,148.04991149902344
2014-01-01,463.6255798339844,465.2861985413661,461.1549719553799,462.2485537461556,251204,HINDUNILVR.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,463.6255798339844,463.6255798339844
2014-01-01,177.51210021972656,178.8624077187179,176.59033919391655,178.02958057005762,3102869,ICICIBANK.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,177.51210021972656,177.51210021972656
2014-01-01,309.4784851074219,312.2448729500776,308.94752147560666,311.62020472754244,1478688,INFY.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,309.4784851074219,309.4784851074219
2014-01-01,135.26754760742188,135.68710787784207,134.7221092829669,135.22559158037987,1930884,ITC.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,135.26754760742188,135.26754760742188
2014-01-01,591.5881958007812,597.8720065810517,590.3979146221933,595.242216588773,694318,LT.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,591.5881958007812,591.5881958007812
2014-01-01,187.46731567382807,189.46052632758585,187.21420263089655,189.2917796056893,5849398,RELIANCE.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,187.46731567382807,187.46731567382807
2014-01-01,152.29014587402344,153.1400134839308,151.96227415687423,152.88979143702517,5904780,SBIN.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,152.29014587402344,152.29014587402344
2014-01-01,800.3021850585938,811.8980558292102,799.4845443722286,810.26277445648,529952,TCS.NS,2,0.0,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,800.3021850585938,800.3021850585938
2014-01-02,243.7842254638672,253.88201699046863,242.06931610607492,247.55891185194056,12972060,AXISBANK.NS,3,-0.08554918338091966,251.0832161793295,240.29828406481113,0.0,-66.66666666666667,100.0,245.6907501220703,245.6907501220703
2014-01-02,146.23587036132812,150.18668725465167,145.46796238895,148.01652022874157,7228992,HDFCBANK.NS,3,-0.04069964090984968,149.7083325098072,144.57744935054436,0.0,-66.66666666666869,100.0,147.14289093017578,147.14289093017578
2014-01-02,455.5656433105469,466.37963682401454,452.4874576529273,462.5319541928134,531660,HINDUNILVR.NS,3,-0.1808319091796875,470.9940831155772,448.19714002895404,0.0,-66.66666666666593,100.0,459.5956115722656,459.5956115722656
2014-01-02,173.93826293945312,180.79488518384076,173.04884263315634,177.2614697592465,11321513,ICICIBANK.NS,3,-0.0801822466728197,180.77935073106713,170.67101242811256,0.0,-66.66666666666667,100.0,175.72518157958984,175.72518157958984
2014-01-02,310.59844970703125,313.0480373178713,309.0546223606379,309.0546223606379,4404744,INFY.NS,3,0.02512741088861503,311.6223365333719,308.45459828108125,100.0,66.66666666667227,100.0,310.03846740722656,310.03846740722656
2014-01-02,132.14183044433594,136.35845737259928,131.86912116884125,135.24660734527885,7046088,ITC.NS,3,-0.0701282696846306,138.12512063005738,129.28425742170043,0.0,-66.66666666666667,100.0,133.7046890258789,133.7046890258789
2014-01-02,573.5950927734375,597.8720561193546,569.3043931014505,590.8685410388737,2322501,LT.NS,3,-0.4036914140750696,608.0377346175553,557.1455539566634,0.0,-66.66666666666667,100.0,582.5916442871094,582.5916442871094
2014-01-02,184.55661010742188,188.9859690879159,183.52309441995607,187.2353114459873,6023632,RELIANCE.NS,3,-0.06530429155398565,190.12832217871147,181.89560360253847,0.0,-66.66666666666667,100.0,186.01196289062497,186.01196289062497
2014-01-02,150.3530731201172,155.82329151347642,149.45575766319388,152.36341942287018,19451900,SBIN.NS,3,-0.043459965632479225,154.06104405694794,148.5821749371927,0.0,-66.66666666666667,100.0,151.3216094970703,151.3216094970703
2014-01-02,805.3937377929688,813.5703239634557,801.361157863672,805.0220747852194,1726948,TCS.NS,3,0.11423355493786858,810.0485043562722,795.6474184952903,100.0,66.66666666666667,100.0,802.8479614257812,802.8479614257812
2014-01-03,241.5998687744141,243.24770794200404,238.6682523493285,241.0442153371073,12018740,AXISBANK.NS,4,-0.17674341024920182,250.3977977646843,238.2564482476855,0.0,-99.99999999999964,100.0,244.3271230061849,244.3271230061849
2014-01-03,147.59361267089844,148.23910369165603,144.6778039032679,145.1229663768164,6513184,HDFCBANK.NS,4,-0.009755913085257362,149.180354876281,145.4059081445523,43.63885144827732,-79.5237307266024,100.0,147.29313151041666,147.29313151041666
2014-01-03,457.6717834472656,459.61589575505496,452.0420056034209,453.621590673396,1018173,HINDUNILVR.NS,4,-0.16510446543355783,467.31480180355464,450.59386925764323,21.279705375951536,-71.04578659522058,100.0,458.95433553059894,458.95433553059894
2014-01-03,172.51516723632812,173.84120885455758,168.98982748121185,172.7092257484158,15567502,ICICIBANK.NS,4,-0.14629820998217724,179.80408305949305,169.50627053751214,0.0,-100.00000000000128,100.0,174.6551767985026,174.6551767985026
2014-01-03,318.14794921875,319.02695527874204,308.2514294466,310.10312436185416,10046344,INFY.NS,4,0.26612683705332074,322.1723887283314,303.310867293804,100.0,100.00000000000188,100.0,312.7416280110677,312.7416280110677
2014-01-03,132.05789184570312,132.58234723059644,130.21180649738028,132.16278691184573,12462028,ITC.NS,4,-0.0919602660376313,136.81444889254246,129.49706437243148,0.0,-100.00000000000001,100.0,133.15575663248697,133.15575663248697
2014-01-03,560.3077392578125,571.8787537511723,558.0931767206685,564.7091385829116,3701602,LT.NS,4,-0.9264230264109301,606.5618975660317,543.7654543219891,0.0,-100.00000000000001,100.0,575.1636759440104,575.1636759440104
2014-01-03,182.2891540527344,184.2085439250983,180.33812681411115,183.8394272389149,12833897,RELIANCE.NS,4,-0.15352430606074563,189.96248893764906,179.5795642850072,0.0,-100.00000000000047,100.0,184.77102661132812,184.77102661132812
2014-01-03,148.37295532226562,149.7836565467746,147.62663391888572,149.00712050148184,13759590,SBIN.NS,4,-0.11677995687443854,154.25599415833418,146.42145538593664,0.0,-100.0000000000012,15.694734270416467,150.3387247721354,150.3387247721354
2014-01-03,825.9091796875,828.4737078343161,798.0530668038067,804.5385654873747,2618174,TCS.NS,4,0.7817388484196499,837.6462303822362,783.4238379771388,100.0,99.99999999999999,100.0,810.5350341796875,810.5350341796875
2014-01-06,240.71844482421875,241.8106158270692,237.90180406215947,240.9579561372878,9181445,AXISBANK.NS,0,-0.24571227611517088,249.55612677716817,237.29378014421854,0.0,-76.88173174735196,100.0,243.42495346069336,243.42495346069336
2014-01-06,147.28199768066406,147.57135055292758,146.23586321760698,147.57135055292758,5963420,HDFCBANK.NS,0,-0.006693746934161027,148.83129970177907,145.74939640417796,39.541948942502046,-48.16813796314862,100.0,147.29034805297852,147.29034805297852
2014-01-06,456.4567565917969,459.9399127255375,453.7836390678021,459.2918917259074,603727,HINDUNILVR.NS,0,-0.19777310626864164,465.59878972515594,451.06109186664094,18.881805722405872,-55.194393597699744,92.21668043659173,458.32994079589844,458.32994079589844
2014-01-06,168.31065368652344,172.8709547334848,167.3808039859614,172.38581516921434,14802265,ICICIBANK.NS,0,-0.324586008813327,180.68003351500653,165.4580585260091,0.0,-91.22011799796567,100.0,173.0690460205078,173.0690460205078
2014-01-06,313.9314880371094,319.51781577639554,309.5320561387843,319.0359375464609,11098328,INFY.NS,0,0.21698228242780715,320.83066530343683,305.2475207317194,66.43173538124732,53.6454023351737,100.0,313.0390930175781,313.0390930175781
2014-01-06,132.43553161621094,132.87607502221488,131.5334617977687,132.16281237003483,8469206,ITC.NS,0,-0.08600163324072696,136.0486051024963,129.90279565433963,11.174131523071281,-48.14723846669132,86.46682201924138,132.97570037841797,132.97570037841797
2014-01-06,559.44970703125,568.00338092414,553.6641987767849,560.3355119256362,2579617,LT.NS,0,-1.1724462615628681,601.3044542924114,541.1659131392292,0.0,-74.85288219159234,100.0,571.2351837158203,571.2351837158203
2014-01-06,180.3276214599609,182.07827910482263,179.28355997964576,181.835711829286,13315857,RELIANCE.NS,0,-0.2607063942811578,189.801133722868,177.51921692410465,0.0,-87.66210178413044,100.0,183.66017532348633,183.66017532348633
2014-01-06,145.6551055908203,148.74826852882893,145.12447330843867,148.56708600879082,13907830,SBIN.NS,0,-0.24539227535458963,154.83935312622484,143.49628682738845,0.0,-96.76226052354679,28.42430653709186,149.16781997680664,149.16781997680664
2014-01-06,832.3768310546875,834.0121126273547,816.5439444930028,828.4371653504338,2311810,TCS.NS,0,1.299686996199398,847.0933192891254,784.8976475077496,100.0,106.00783903470429,100.0,815.9954833984375,815.9954833984375
2014-01-07,236.49349975585935,242.5387635564889,232.90082970458712,240.94840477199224,15100310,AXISBANK.NS,1,-0.44613635196793666,250.20135253664938,233.87597290280377,0.0,-95.14865555231356,100.0,242.03866271972657,242.03866271972657
2014-01-07,147.8829803466797,149.34088474232271,145.41232044727303,148.4839388226212,7896920,HDFCBANK.NS,1,0.019025591968528488,148.84479561553536,145.97295340790214,49.07959179082103,26.011638436779773,15.394244447121938,147.40887451171875,147.40887451171875
2014-01-07,452.7711486816406,458.4009276271743,450.3815245892671,456.0517955822974,605461,HINDUNILVR.NS,1,-0.35801995623347693,465.23985672338694,449.19650802270684,13.949327504582811,-105.42167468650416,94.58286792055742,457.2181823730469,457.2181823730469
2014-01-07,169.7983856201172,171.2861448992988,165.56959571245727,168.99791293343645,18566515,ICICIBANK.NS,1,-0.3554313018694586,179.62623306697017,165.20359481388923,14.715255977575168,-79.86752937880759,100.0,172.4149139404297,172.4149139404297
2014-01-07,308.5102233886719,314.6453573739214,307.57768738025345,314.0340880052277,7713688,INFY.NS,1,-0.030014753680859485,320.0035145853551,304.2631235982386,45.926394247526396,-62.42836105691743,52.926164377189046,312.13331909179686,312.13331909179686
2014-01-07,132.87606811523438,133.16976037966677,131.218779690802,132.79214606677098,8078735,ITC.NS,1,-0.06342328929008545,135.61847910148902,130.29306875007347,21.728770067243275,-35.99336242705312,87.44012035502789,132.95577392578124,132.95577392578124
2014-01-07,564.4323120117188,569.4427145431143,558.1208268037587,561.9409482765326,2833413,LT.NS,1,-1.0831793433195571,596.6167862776786,543.1324324723214,14.450109894316782,-47.51484137013797,91.18662335935893,569.874609375,569.874609375
2014-01-07,177.6172637939453,181.38220938011105,177.1848723244197,180.2537816912432,17311470,RELIANCE.NS,1,-0.4213103812026304,190.03426743695616,174.86891859820008,0.0,-94.85319026217819,100.0,182.45159301757812,182.45159301757812
2014-01-07,143.34710693359375,146.85010986076318,142.79490962239595,146.06495040041904,17352910,SBIN.NS,1,-0.401952738645349,155.161140358907,140.84621437742112,0.0,-107.94856812000272,48.11553833632981,148.00367736816406,148.00367736816406
2014-01-07,819.944091796875,838.6387542991373,817.2867382881881,832.5249175832384,2897486,TCS.NS,1,1.0590432815474742,843.9473065145104,789.6231036417397,70.71516017381909,69.48527490672421,100.0,816.785205078125,816.785205078125
2014-01-08,232.1822967529297,238.55329249212195,231.30088216528716,237.59524714074797,13901845,AXISBANK.NS,2,-0.7425820867435959,251.2618866545405,229.529983462647,0.0,-117.55496070690323,100.0,240.39593505859375,240.39593505859375
2014-01-08,147.94972229003906,148.45052997627226,146.90358796174078,148.06101288697977,4649480,HDFCBANK.NS,2,0.03698270930337344,148.8571418746587,146.14088974155223,49.98603040317646,52.977745373873496,15.394244447121935,147.49901580810547,147.49901580810547
2014-01-08,452.9330749511719,455.36319060086254,451.1914722925618,452.0015108424587,564149,HINDUNILVR.NS,2,-0.4406963980788987,464.4864308853015,448.52156472016725,14.959002113962669,-99.52773930793839,94.58286792055743,456.5039978027344,456.5039978027344
2014-01-08,170.4937744140625,172.03814055795868,168.71493387438358,170.4452699578185,18955475,ICICIBANK.NS,2,-0.3375573472806934,178.73272197726416,165.45672606147284,20.380437958797344,-44.01799429511736,84.792370013703,172.0947240193685,172.0947240193685
2014-01-08,305.9179382324219,310.1032073376359,305.28433735310864,308.8538706749807,8990392,INFY.NS,2,-0.2887769226792898,319.77532263299497,302.41952193080715,39.8429648675051,-123.74557798866797,18.06770173996852,311.09742228190106,311.09742228190106
2014-01-08,132.93899536132812,133.4214947755878,131.63834823520588,133.21171458958602,7763390,ITC.NS,2,-0.04596768971376264,135.3346128109975,130.5713421857473,23.079370299759233,-19.94965221089467,76.58029993226933,132.9529774983724,132.9529774983724
2014-01-08,552.722900390625,567.9756106290837,551.8370956447546,565.8163982023652,3084265,LT.NS,2,-1.5098589458025344,594.7330611820784,539.2989212397966,10.693520498191575,-72.49329642054747,92.68994756183496,567.0159912109375,567.0159912109375
2014-01-08,179.08316040039062,180.83380367657517,178.102373828608,178.102373828608,12726430,RELIANCE.NS,2,-0.4472533261075,189.20877942757943,174.571595735181,13.949460938533974,-70.05036253628097,100.0,181.89018758138022,181.89018758138022
2014-01-08,142.98040771484375,144.77505223358983,142.44978854099244,143.5930079723486,14248790,SBIN.NS,2,-0.5041917073107527,154.76946384190217,139.56346767665252,0.0,-95.45630039281922,50.281668082489794,147.16646575927734,147.16646575927734
2014-01-08,829.7932739257812,834.0116848300928,821.375144150849,822.1184700731575,2550020,TCS.NS,2,1.3156340756971758,845.4679364956132,792.4384966098555,76.38306960785091,76.3260861572146,100.0,818.9532165527344,818.9532165527344
2014-01-09,227.0279998779297,231.95235222124103,225.37058557317656,230.8889213349125,25553735,AXISBANK.NS,3,-1.1534032405355958,252.64624434779742,224.32621571777176,0.0,-140.7783448947345,100.0,238.4862300327846,238.4862300327846
2014-01-09,147.56024169921875,148.25023813680804,146.258133241774,147.61588701145277,3777472,HDFCBANK.NS,3,0.03021764220272871,148.7484197461434,146.26710498181419,45.135643443471906,-15.533574847267962,28.075964798290652,147.5077623639788,147.5077623639788
2014-01-09,448.88287353515625,453.6215791842316,448.599330383669,453.6215791842316,854783,HINDUNILVR.NS,3,-0.6696077128654565,464.7044429918539,446.126088537164,11.475098349419952,-123.66740229724722,95.71659944323021,455.41526576450894,455.41526576450894
2014-01-09,169.9358673095703,172.3211357336819,168.54514382648915,172.19177241966344,19238686,ICICIBANK.NS,3,-0.3455544302510418,178.0618570370363,165.5107747989012,19.315542706794147,-44.36449622061455,79.30760965236314,171.78631591796875,171.78631591796875
2014-01-09,307.9436340332031,310.7278655764908,305.003235412156,306.9798557102608,12590808,INFY.NS,3,-0.3579821071825222,318.9196441233325,302.37411808369876,45.66143728344614,-87.20245037619999,23.166995961327665,310.6468811035156,310.6468811035156
2014-01-09,132.41452026367188,132.87604657731083,131.17680239053342,132.87604657731083,7959027,ITC.NS,3,-0.05774107193306577,135.08795470101018,130.6641553715345,20.09039371409061,-52.290660428975286,78.96847833564577,132.87605503627233,132.87605503627233
2014-01-09,538.079345703125,555.8510475300718,537.0274396973847,552.999856630978,4402965,LT.NS,3,-2.420863640401194,596.3287183583728,529.43565106127,8.002194166439494,-126.3618318588639,94.88713006985687,562.8821847098214,562.8821847098214
